"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"North Western","NM1","2017-03-01","1","Surface Water","0.9","8","0.05","0.96","0.13","0.027","0.33","1.6","79","6.3","90","5.6","7.8","17.4","31.1"
"North Western","NM1","2017-03-01","1","Middle Water","0.9","10","0.04","1.29","0.13","0.029","0.32","1.5","90","7.2","81","4.8","7.8","17.3","31.1"
"North Western","NM1","2017-03-01","1","Bottom Water","1.1","11","0.05","1.29","0.13","0.027","0.32","1.3","92","7.3","96","5.5","7.9","17.3","31.1"
"North Western","NM1","2017-04-03","1","Surface Water","<0.1","2.4","0.05","0.88","0.18","0.03","0.54","0.5","91","6.9","3","1.9","7.8","20.3","29.3"
"North Western","NM1","2017-04-03","1","Middle Water","<0.1","3.4","0.04","0.67","0.18","0.028","0.46","0.5","90","6.9","9","2","7.9","20","30.1"
"North Western","NM1","2017-04-03","1","Bottom Water","<0.1","4.2","0.04","0.71","0.18","0.028","0.47","0.5","89","6.8","5","2.7","7.9","19.9","30.7"
"North Western","NM1","2017-05-08","1","Surface Water","0.8","2.4","0.14","0.73","0.11","0.01","0.58","2.9","90","6.3","1","4.5","7.8","25.2","27.6"
"North Western","NM1","2017-05-08","1","Middle Water","0.5","1.5","0.03","0.81","0.14","0.015","0.43","1.2","80","5.6","16","3.4","7.8","24.5","30.2"
"North Western","NM1","2017-05-08","1","Bottom Water","0.4","4.3","0.05","0.7","0.16","0.009","0.39","0.9","77","5.4","27","4.5","7.8","24.4","30.8"
"North Western","NM1","2017-06-19","1","Surface Water","1.2","6.3","0.08","1.92","0.058","0.045","1.73","3.1","88","6.4","350","5.8","7.7","28.1","11.8"
"North Western","NM1","2017-06-19","1","Middle Water","0.7","3.6","0.05","0.6","0.023","0.017","0.36","0.7","41","2.8","160","2.4","7.7","25.7","30.1"
"North Western","NM1","2017-06-19","1","Bottom Water","0.7","9.3","0.04","0.41","0.014","0.02","0.24","0.5","36","2.5","30","5.5","7.8","25","32.2"
"North Western","NM1","2017-07-06","1","Surface Water","1.1","6","0.07","1.59","0.054","0.048","1.46","2.5","88","7.6","70","2.3","7.6","27.7","14"
"North Western","NM1","2017-07-06","1","Middle Water","1","8.9","0.09","0.68","0.11","0.03","0.6","2.5","45","3.1","29","1.8","7.5","25.3","28.5"
"North Western","NM1","2017-07-06","1","Bottom Water","1","17","0.05","1.19","0.11","0.022","0.33","0.8","26","1.8","17","14.3","7.6","24.3","32.1"
"North Western","NM1","2017-08-14","1","Surface Water","0.1","2.4","0.09","1.22","<0.005","0.04","1.1","1.7","96","6.6","6","6.8","7.6","29.8","17"
"North Western","NM1","2017-08-14","1","Middle Water","0.1","4.5","0.04","0.77","0.034","0.022","0.45","2.1","51","3.5","14","4","7.7","26","30.3"
"North Western","NM1","2017-08-14","1","Bottom Water","0.2","16","0.06","0.77","0.024","0.019","0.29","1.4","46","3.1","7","12.2","7.7","25.4","31.8"
"North Western","NM1","2017-09-06","1","Surface Water","0.2","5.3","0.18","0.93","0.057","0.036","0.8","0.6","69","4.8","75","3.7","7.7","27.6","24.3"
"North Western","NM1","2017-09-06","1","Middle Water","0.3","8.5","0.07","1.1","0.066","0.026","0.38","0.8","65","4.4","120","6","7.8","26.9","29.2"
"North Western","NM1","2017-09-06","1","Bottom Water","0.4","14","0.1","0.55","0.068","0.025","0.37","0.5","65","4.4","180","10.3","7.8","26.8","29.6"
"North Western","NM1","2017-10-11","1","Surface Water","0.3","5.6","0.03","0.67","0.018","0.025","0.49","1","72","4.7","9","3.8","7.9","29.7","27.3"
"North Western","NM1","2017-10-11","1","Middle Water","0.2","6.5","0.03","0.9","0.053","0.027","0.42","0.5","79","5.2","68","3.7","7.9","29.5","28.4"
"North Western","NM1","2017-10-11","1","Bottom Water","0.6","21","0.05","0.69","0.062","0.026","0.36","0.3","75","4.9","120","12.9","7.9","29.5","29.4"
"North Western","NM1","2017-11-08","1","Surface Water","0.8","30","0.04","0.44","0.091","0.023","0.22","1.1","68","4.6","2800","11.2","7.8","25.1","32.7"
"North Western","NM1","2017-11-08","1","Middle Water","<0.1","38","0.05","0.57","0.098","0.024","0.23","0.4","83","5.7","2100","14.1","7.8","25","32.7"
"North Western","NM1","2017-11-08","1","Bottom Water","0.6","48","0.05","0.54","0.1","0.024","0.23","2.2","83","5.7","2400","19.3","7.8","25.1","32.7"
"North Western","NM1","2017-12-15","1","Surface Water","0.3","12","0.04","0.67","0.17","0.032","0.35","0.7","73","5.3","320","8.8","7.7","21.1","32.9"
"North Western","NM1","2017-12-15","1","Middle Water","0.2","14","0.05","0.79","0.16","0.031","0.35","<0.2","83","6.1","490","9.1","7.9","21.1","32.9"
"North Western","NM1","2017-12-15","1","Bottom Water","0.1","17","0.04","0.6","0.17","0.034","0.35","0.4","83","6.1","560","9.6","7.9","21","32.9"
"North Western","NM1","2018-01-11","1","Surface Water","0.3","4.1","0.03","0.94","0.076","0.025","0.27","0.5","91","7.2","13","6","8.1","17.3","32.2"
"North Western","NM1","2018-01-11","1","Middle Water","0.4","5.3","0.03","0.39","0.08","0.023","0.27","0.5","92","7.3","25","6.2","8.1","17.3","32.2"
"North Western","NM1","2018-01-11","1","Bottom Water","0.2","8.3","0.03","0.36","0.073","0.024","0.26","0.6","92","7.3","8","6.5","8.1","17.3","32.2"
"North Western","NM1","2018-02-23","1","Surface Water","0.2","7.1","0.02","0.58","0.14","0.019","0.29","1.4","84","6.7","81","6.9","8.1","16.6","32"
"North Western","NM1","2018-02-23","1","Middle Water","0.3","6.5","0.03","0.55","0.14","0.018","0.29","1.3","93","7.4","95","7.1","8.1","16.6","32"
"North Western","NM1","2018-02-23","1","Bottom Water","0.3","8.2","0.03","0.67","0.13","0.014","0.29","1.6","93","7.5","75","5.3","8.1","16.6","32"
"North Western","NM1","2018-03-08","1","Surface Water","1","2.4","0.04","1.49","0.11","<0.002","0.3","1.4","85","6.7","510","7.4","8.1","17.7","31.3"
"North Western","NM1","2018-03-08","1","Middle Water","1.4","2.7","0.03","1.37","0.12","<0.002","0.29","2.2","95","7.4","350","5.5","8.1","18.5","31.6"
"North Western","NM1","2018-03-08","1","Bottom Water","1","3.4","0.04","0.83","0.12","<0.002","0.29","1.8","95","7.4","390","6.6","8.2","18.5","31.6"
"North Western","NM1","2018-04-12","1","Surface Water","1.3","5.8","0.02","0.58","0.095","<0.002","0.44","4.8","86","6.2","5","2.7","8","24.1","29.1"
"North Western","NM1","2018-04-12","1","Middle Water","0.8","5","0.03","0.58","0.14","0.014","0.27","1","87","6.3","1100","3","8","22.6","32.1"
"North Western","NM1","2018-04-12","1","Bottom Water","0.6","5.2","0.03","0.48","0.13","0.01","0.23","1.1","87","6.2","2700","3.2","8","22.5","32.5"
"North Western","NM1","2018-05-10","1","Surface Water","0.5","7.6","0.03","1.32","0.13","<0.002","0.35","1.7","85","5.9","290","3.5","7.7","25","31.5"
"North Western","NM1","2018-05-10","1","Middle Water","0.5","11","0.02","0.77","0.095","0.01","0.24","1.4","82","5.7","2200","1.4","7.7","24.9","32.2"
"North Western","NM1","2018-05-10","1","Bottom Water","0.5","12","0.03","0.57","0.093","0.003","0.22","1.1","82","5.7","600","2.3","7.7","24.8","32.6"
"North Western","NM1","2018-06-06","1","Surface Water","0.8","4.4","0.02","0.4","0.063","0.015","0.28","6.5","71","4.8","51","1","7.9","27.5","24.9"
"North Western","NM1","2018-06-06","1","Middle Water","0.6","7.6","0.03","0.7","0.15","0.021","0.44","1.9","66","4.4","2000","1.1","7.8","27.2","29.9"
"North Western","NM1","2018-06-06","1","Bottom Water","0.4","8.3","0.03","0.56","0.15","0.023","0.43","1.1","59","4","4600","3.7","7.8","26.9","30.7"
"North Western","NM1","2018-07-11","1","Surface Water","2.3","8","0.03","0.78","0.041","0.01","0.48","31","120","8.2","22","3.4","8.2","28.1","24.1"
"North Western","NM1","2018-07-11","1","Middle Water","1.1","6.8","0.02","0.49","0.054","0.015","0.35","7.8","61","4.2","580","3.3","8","25.8","29.3"
"North Western","NM1","2018-07-11","1","Bottom Water","1","35","0.05","1.03","0.063","0.021","0.33","7.3","47","3.2","460","19.5","7.9","25.3","30.5"
"North Western","NM1","2018-08-15","1","Surface Water","0.3","9.6","0.04","0.64","0.091","0.03","0.48","0.6","61","4.1","620","5.3","7.8","28","28"
"North Western","NM1","2018-08-15","1","Middle Water","0.4","12","0.03","0.61","0.086","0.029","0.46","1","63","4.2","800","7.8","7.9","27.9","28.5"
"North Western","NM1","2018-08-15","1","Bottom Water","0.4","16","0.03","0.63","0.08","0.029","0.44","1.3","63","4.2","840","8.8","7.9","27.9","28.6"
"North Western","NM1","2018-09-06","1","Surface Water","1.3","4.9","0.05","1.43","0.016","0.015","1.23","8","91","6.4","29","2.7","8","28.7","17.5"
"North Western","NM1","2018-09-06","1","Middle Water","0.7","9","0.04","0.76","0.016","0.024","0.58","2.2","55","3.9","43","4.1","7.9","25.9","27.6"
"North Western","NM1","2018-09-06","1","Bottom Water","0.5","18","0.03","0.4","0.011","0.019","0.26","1.4","43","3","33","17.1","7.9","24.2","32.6"
"North Western","NM1","2018-10-15","1","Surface Water","0.8","5.1","0.04","0.63","0.031","0.027","0.41","0.7","73","5","43","2.9","8.1","26.8","29.1"
"North Western","NM1","2018-10-15","1","Middle Water","0.5","12","0.03","0.5","0.042","0.027","0.36","1","88","6","96","4.1","8.1","26.6","30.2"
"North Western","NM1","2018-10-15","1","Bottom Water","0.6","5.8","0.03","0.51","0.036","0.028","0.36","0.3","88","5.9","10","6","8.2","26.7","30.4"
"North Western","NM1","2018-11-08","1","Surface Water","0.7","12","0.02","0.26","0.052","0.013","0.15","4.5","90","6.1","31","4","7.9","25.3","32.2"
"North Western","NM1","2018-11-08","1","Middle Water","0.8","21","0.03","0.29","0.071","0.014","0.15","4.4","93","6.4","130","5.7","7.9","25","32.3"
"North Western","NM1","2018-11-08","1","Bottom Water","0.9","27","0.03","0.43","0.08","0.014","0.16","4.1","92","6.3","340","6.2","7.9","25","32.4"
"North Western","NM1","2018-12-06","1","Surface Water","0.6","4.4","0.04","0.69","0.052","0.026","0.45","1.6","69","4.9","19","2.4","7.8","23.9","30.5"
"North Western","NM1","2018-12-06","1","Middle Water","0.4","5.9","0.04","0.54","0.073","0.027","0.4","0.5","81","5.7","85","3.2","7.9","23.4","31.3"
"North Western","NM1","2018-12-06","1","Bottom Water","0.5","7.5","0.04","0.56","0.084","0.026","0.38","1.4","81","5.8","40","3.7","7.9","23.4","31.7"
"North Western","NM1","2019-01-23","1","Surface Water","0.4","12","0.04","0.98","0.13","0.016","0.43","0.9","75","5.8","110","5.8","7.9","18.7","31.4"
"North Western","NM1","2019-01-23","1","Middle Water","0.4","15","0.04","0.86","0.14","0.018","0.43","1.2","90","7","130","7.3","7.9","18.6","31.5"
"North Western","NM1","2019-01-23","1","Bottom Water","0.4","18","0.05","1.19","0.15","0.02","0.44","1.3","90","7","190","7.9","7.9","18.6","31.5"
"North Western","NM1","2019-02-22","1","Surface Water","0.9","3","0.03","1.09","0.12","0.012","0.4","4.8","89","6.7","80","1.4","8","20.7","29.6"
"North Western","NM1","2019-02-22","1","Middle Water","1","3","0.03","0.95","0.12","0.009","0.37","3.4","95","7.2","170","1.6","8","20.6","30"
"North Western","NM1","2019-02-22","1","Bottom Water","1.1","3.7","0.03","0.8","0.11","0.013","0.33","2.2","96","7.3","360","1.9","7.9","20.6","30.3"
"North Western","NM1","2019-03-04","1","Surface Water","0.7","1.8","0.03","1.2","0.053","0.008","0.28","8.1","112","8.4","1","0.5","8.1","20.8","30.1"
"North Western","NM1","2019-03-04","1","Middle Water","0.9","2.6","0.03","0.88","0.079","0.01","0.25","14","103","7.7","56","1.2","8.1","20.4","31.1"
"North Western","NM1","2019-03-04","1","Bottom Water","1","2.4","0.03","0.65","0.076","0.01","0.23","14","100","7.5","60","0.9","8.1","20.3","31.6"
"North Western","NM1","2019-04-03","1","Surface Water","0.5","7.3","0.03","0.47","0.14","0.017","0.24","0.5","82","5.9","15","1.3","7.8","22.7","30.9"
"North Western","NM1","2019-04-03","1","Middle Water","0.4","9.4","0.03","0.54","0.13","0.01","0.31","0.6","83","6","34","1.2","7.8","22.3","31.8"
"North Western","NM1","2019-04-03","1","Bottom Water","0.4","9","0.03","0.57","0.14","0.022","0.31","0.4","83","6","37","1.6","7.8","22.3","32.2"
"North Western","NM1","2019-05-15","1","Surface Water","2.4","17","0.04","0.93","0.009","0.01","0.67","16","126","9","4","3.2","8.1","26.7","20.9"
"North Western","NM1","2019-05-15","1","Middle Water","1","12","0.02","0.7","0.069","0.01","0.38","3.9","91","6.4","420","2.8","7.8","24.6","29.3"
"North Western","NM1","2019-05-15","1","Bottom Water","0.8","13","0.03","0.68","0.084","0.006","0.32","1","87","6.1","690","4","7.7","24.5","30.2"
"North Western","NM1","2019-06-20","1","Surface Water","0.6","2.3","0.04","1.25","0.056","0.022","0.69","2.6","76","5.3","590","2.6","7.6","28.4","19.8"
"North Western","NM1","2019-06-20","1","Middle Water","0.4","14","0.03","0.57","0.076","0.004","0.26","0.6","61","4.2","590","4.5","7.6","27","29.5"
"North Western","NM1","2019-06-20","1","Bottom Water","0.4","28","0.13","1.05","0.49","0.04","0.68","0.5","59","4","520","9.3","7.6","26.9","30"
"North Western","NM1","2019-07-03","1","Surface Water","1.2","5.9","0.03","0.54","0.041","0.008","0.45","8.4","81","5.4","38","18.7","8.7","31.4","19.5"
"North Western","NM1","2019-07-03","1","Middle Water","1","11","0.03","0.55","0.064","0.008","0.36","8.1","52","3.4","92","13.7","8.6","30.6","23.3"
"North Western","NM1","2019-07-03","1","Bottom Water","0.7","8.4","0.03","0.48","0.066","0.014","0.34","7","51","3.4","70","13.4","8.6","30.5","23.6"
"North Western","NM1","2019-08-17","1","Surface Water","0.8","9.8","0.04","0.86","0.04","0.021","0.67","5","90","6.4","60","2.4","8","28.9","23.6"
"North Western","NM1","2019-08-17","1","Middle Water","0.5","20","0.04","0.45","0.028","0.017","0.23","1.8","45","3.1","190","5.7","8","26.1","32.1"
"North Western","NM1","2019-08-17","1","Bottom Water","0.5","23","0.04","0.39","0.036","0.017","0.23","1.6","44","3","80","8.5","7.9","25.9","32.4"
"North Western","NM1","2019-09-04","1","Surface Water","0.4","9.9","0.05","0.85","0.041","0.03","0.53","0.5","83","5.7","90","6.5","7.9","27.5","25.3"
"North Western","NM1","2019-09-04","1","Middle Water","0.3","26","0.06","0.81","0.079","0.034","0.53","<0.2","64","4.3","52","12","7.9","27.1","27.4"
"North Western","NM1","2019-09-04","1","Bottom Water","0.4","31","0.06","0.84","0.072","0.033","0.51","0.6","63","4.3","45","14.5","7.9","27","27.5"
"North Western","NM1","2019-10-11","1","Surface Water","0.5","14","0.05","0.74","0.035","0.016","0.38","3.8","94","6.1","12","6.7","7.9","29.5","29.6"
"North Western","NM1","2019-10-11","1","Middle Water","0.5","16","0.05","0.79","0.034","0.015","0.37","4.1","77","5","37","4.8","7.8","29.1","30.3"
"North Western","NM1","2019-10-11","1","Bottom Water","0.6","13","0.04","0.47","0.075","0.022","0.29","2.2","73","4.7","23","6.5","7.8","29","31.4"
"North Western","NM1","2019-11-11","1","Surface Water","0.7","3.6","0.05","0.35","0.07","0.009","0.16","4.4","89","6","330","3.6","8","25.8","33"
"North Western","NM1","2019-11-11","1","Middle Water","0.6","4.6","0.05","0.44","0.071","0.012","0.16","5","94","6.3","570","3.4","7.9","25.7","33"
"North Western","NM1","2019-11-11","1","Bottom Water","0.6","6.2","0.05","0.44","0.086","0.015","0.17","3.6","92","6.2","1700","4.3","7.8","25.7","33"
"North Western","NM1","2019-12-13","1","Surface Water","0.4","14","0.03","0.45","0.13","0.01","0.24","0.5","84","6.2","1500","6.9","8.1","20.4","33.4"
"North Western","NM1","2019-12-13","1","Middle Water","0.5","18","0.03","0.48","0.14","0.017","0.25","0.8","83","6.2","1800","10.4","8.1","20.4","33.4"
"North Western","NM1","2019-12-13","1","Bottom Water","0.4","20","0.11","0.45","0.15","0.022","0.26","0.6","84","6.2","1500","9.7","8.1","20.4","33.4"
"North Western","NM1","2020-01-10","1","Surface Water","0.3","8.7","0.06","0.77","0.17","0.03","0.59","1.3","87","6.5","90","3.1","8.1","20.6","30.7"
"North Western","NM1","2020-01-10","1","Middle Water","0.7","9.9","0.06","1.1","0.18","0.032","0.52","1.2","84","6.3","310","3.1","8.2","20.4","31.4"
"North Western","NM1","2020-01-10","1","Bottom Water","0.4","10","0.07","1.04","0.19","0.032","0.53","1.1","85","6.4","230","3.9","8.1","20.3","31.7"
"North Western","NM1","2020-04-16","1","Surface Water","0.9","2","0.04","0.76","0.074","0.018","0.47","4.1","89","6.7","6","2.5","7.7","22.4","23.9"
"North Western","NM1","2020-04-16","1","Middle Water","0.5","2.8","0.04","1","0.09","0.012","0.42","1.2","85","6.2","57","2.4","7.7","21.3","32.1"
"North Western","NM1","2020-04-16","1","Bottom Water","0.5","3.4","0.04","1.01","0.097","0.007","0.57","1.1","87","6.4","50","3.9","7.7","21.2","32.5"
"North Western","NM1","2020-05-29","1","Surface Water","0.9","1.7","0.03","0.72","0.05","0.015","0.7","1.3","77","5.3","<1","4.5","7.8","27.3","23.8"
"North Western","NM1","2020-05-29","1","Middle Water","0.7","2.4","0.04","0.86","0.068","0.013","0.42","<0.2","58","4","440","3.7","7.9","25.7","30.8"
"North Western","NM1","2020-05-29","1","Bottom Water","0.6","2.9","0.04","0.72","0.064","0.005","0.35","<0.2","57","3.9","430","5.8","7.9","25.4","31.7"
"North Western","NM1","2020-06-05","1","Surface Water","0.7","16","0.03","1.08","0.022","0.023","1.05","1.6","89","6.2","3","5.4","7.9","28.7","18.8"
"North Western","NM1","2020-06-05","1","Middle Water","0.5","17","0.03","0.91","0.043","0.014","0.76","1.7","59","4.1","94","6","8","26.3","28.5"
"North Western","NM1","2020-06-05","1","Bottom Water","0.4","12","0.03","0.61","0.053","0.008","0.6","2.1","57","3.9","92","7.5","7.9","26.1","29.5"
"North Western","NM1","2020-07-13","1","Surface Water","1.8","10","0.05","1.19","0.042","0.019","0.94","32","111","7.7","1","3.8","8.2","31","13.1"
"North Western","NM1","2020-07-13","1","Middle Water","0.7","11","0.06","0.52","0.069","0.014","0.38","8.1","58","4.1","660","3.3","7.9","23.7","32.5"
"North Western","NM1","2020-07-13","1","Bottom Water","0.7","12","0.06","0.61","0.079","0.01","0.36","8.9","56","3.9","1000","4.4","7.9","23.3","33.4"
"North Western","NM1","2020-09-25","1","Surface Water","0.6","2.1","0.09","0.97","0.02","0.039","0.86","1.1","66","4.4","5","4.4","7.7","29.4","22.4"
"North Western","NM1","2020-09-25","1","Middle Water","0.4","3.3","0.28","1.21","0.066","0.03","0.5","0.2","73","4.7","30","5.5","7.8","29.2","29.2"
"North Western","NM1","2020-09-25","1","Bottom Water","0.3","7","0.08","0.59","0.072","0.022","0.32","0.4","74","4.8","34","10.6","7.9","29.2","30.6"
"North Western","NM1","2020-10-07","1","Surface Water","<0.1","11","0.08","0.46","0.084","0.014","0.36","1.1","76","5","350","4.5","7.9","28.4","30"
"North Western","NM1","2020-10-07","1","Middle Water","<0.1","15","0.08","0.55","0.086","0.02","0.3","2.9","80","5.3","900","5.5","7.9","28.7","30.4"
"North Western","NM1","2020-10-07","1","Bottom Water","<0.1","16","0.07","0.32","0.084","0.02","0.25","1","80","5.2","700","6.2","7.9","28.8","30.7"
"North Western","NM1","2020-11-18","1","Surface Water","0.7","9.6","0.06","0.4","0.13","0.012","0.29","1.5","88","6.2","460","10.3","7.7","23.8","32.2"
"North Western","NM1","2020-11-18","1","Middle Water","0.8","14","0.06","0.52","0.12","0.019","0.28","1.4","89","6.3","440","11.3","7.7","23.8","32.2"
"North Western","NM1","2020-11-18","1","Bottom Water","0.7","16","0.07","0.42","0.12","0.018","0.28","2.3","91","6.4","520","11.2","7.8","23.8","32.2"
"North Western","NM1","2021-02-17","1","Surface Water","1.9","11","0.05","0.97","0.15","0.011","0.27","4.3","72","5.6","530","4.6","7.8","19.4","30.4"
"North Western","NM1","2021-02-17","1","Middle Water","2.1","9.3","0.05","0.64","0.14","0.004","0.26","4","90","6.9","690","4.7","7.8","19.3","30.6"
"North Western","NM1","2021-02-17","1","Bottom Water","2","18","0.05","1.13","0.15","0.006","0.28","4.1","81","6.3","550","4.9","7.8","19.3","30.7"
"North Western","NM1","2021-03-04","1","Surface Water","0.5","6","0.06","1.43","0.17","0.016","0.3","0.7","59","4.4","390","5.8","7.7","20.4","31.2"
"North Western","NM1","2021-03-04","1","Middle Water","0.5","9.5","0.07","0.98","0.17","0.014","0.3","1","68","5.1","390","6.1","7.6","20.5","31.3"
"North Western","NM1","2021-03-04","1","Bottom Water","0.6","9.2","0.07","0.87","0.18","0.017","0.31","1","63","4.7","340","6.6","7.6","20.5","31.3"
"North Western","NM1","2021-04-08","1","Surface Water","0.9","1.2","0.04","0.78","0.12","0.015","0.32","3.7","63","4.4","40","3","7.4","24.2","31.1"
"North Western","NM1","2021-04-08","1","Middle Water","0.6","1.8","0.04","0.62","0.14","0.015","0.29","3.9","64","4.5","660","2.9","7.4","24","31.8"
"North Western","NM1","2021-04-08","1","Bottom Water","0.6","1.9","0.04","0.55","0.16","0.016","0.27","3.2","57","4","1800","3","7.4","23.9","32.3"
"North Western","NM1","2021-05-13","1","Surface Water","0.7","2.2","N/A","N/A","0.08","0.013","0.56","3.2","70","4.8","20","4.1","7.5","27.7","25.1"
"North Western","NM1","2021-05-13","1","Middle Water","0.6","15","N/A","N/A","0.1","0.006","0.31","2.4","74","5","440","5.1","7.5","26.3","30.6"
"North Western","NM1","2021-05-13","1","Bottom Water","0.4","7.1","N/A","N/A","0.094","<0.002","0.23","2.1","58","4","250","7.6","7.5","26.2","30.9"
"North Western","NM1","2021-06-07","1","Surface Water","1.6","3.2","N/A","N/A","0.056","0.006","0.65","15","85","6.2","3","5.8","7.7","26.7","25.8"
"North Western","NM1","2021-06-07","1","Middle Water","0.6","3.1","N/A","N/A","0.034","0.019","0.34","2.8","49","3.4","180","4.7","7.4","25.1","31.7"
"North Western","NM1","2021-06-07","1","Bottom Water","0.3","3.4","N/A","N/A","0.032","0.02","0.28","0.9","43","3","160","9","7.4","24.9","32.4"
"North Western","NM1","2021-07-08","1","Surface Water","1.8","5.2","N/A","N/A","0.024","0.008","0.72","23","86","5.6","11","5.4","7.8","28.7","21.1"
"North Western","NM1","2021-07-08","1","Middle Water","0.6","5.6","N/A","N/A","0.073","0.006","0.47","11","58","4","55","4.2","7.4","26.4","28.7"
"North Western","NM1","2021-07-08","1","Bottom Water","0.4","3.5","N/A","N/A","0.078","0.014","0.37","3.5","38","2.6","180","8.3","7.2","25.3","31.5"
"North Western","NM1","2021-08-19","1","Surface Water","0.9","3.2","N/A","N/A","0.059","<0.002","0.73","11","67","4.6","2","4.1","7.5","28.6","22.7"
"North Western","NM1","2021-08-19","1","Middle Water","0.6","8.8","N/A","N/A","0.077","0.017","0.51","6.2","51","3.5","12","5.9","7.3","26.7","27.9"
"North Western","NM1","2021-08-19","1","Bottom Water","0.3","4.3","N/A","N/A","0.062","0.019","0.31","2.7","35","2.4","24","9.8","7.2","24.4","32.7"
"North Western","NM1","2021-09-03","1","Surface Water","0.7","2.2","N/A","N/A","0.088","0.027","0.72","2.8","68","6","<1","3.4","7.2","28.1","27.5"
"North Western","NM1","2021-09-03","1","Middle Water","0.7","5.6","N/A","N/A","0.1","0.024","0.64","7.1","60","4.6","37","3.6","7.2","26.5","29.8"
"North Western","NM1","2021-09-03","1","Bottom Water","0.7","2.8","N/A","N/A","0.11","0.026","0.55","7.5","31","2.2","44","6.4","7.2","25.2","31.5"
"North Western","NM1","2021-10-25","1","Surface Water","0.1","12","N/A","N/A","0.078","0.007","0.2","<0.2","78","5.2","670","9.9","7.8","26.3","32.8"
"North Western","NM1","2021-10-25","1","Middle Water","0.2","12","N/A","N/A","0.075","0.009","0.21","0.6","77","5.2","460","12","7.9","26.3","32.9"
"North Western","NM1","2021-10-25","1","Bottom Water","0.3","8","N/A","N/A","0.071","0.015","0.2","0.3","78","5.3","510","12.5","7.9","26.3","32.9"
"North Western","NM1","2021-11-15","1","Surface Water","0.6","3.6","0.07","0.82","0.094","0.018","0.3","2.1","73","5","12","11.6","7.2","24.5","32.8"
"North Western","NM1","2021-11-15","1","Middle Water","7","3.7","0.08","0.59","0.096","0.016","0.29","1.7","85","5.9","27","6.3","7.4","24.7","32.9"
"North Western","NM1","2021-11-15","1","Bottom Water","0.8","2","0.08","0.46","0.094","0.019","0.3","2","85","5.8","23","8.3","7.5","24.7","33"
"North Western","NM1","2021-12-03","1","Surface Water","0.7","6.7","0.04","0.98","0.12","0.02","0.24","1","88","6.3","260","8","7.3","22.4","33.5"
"North Western","NM1","2021-12-03","1","Middle Water","0.8","6.2","0.04","0.78","0.12","0.02","0.24","1","81","5.8","170","8.9","7.4","22.4","33.5"
"North Western","NM1","2021-12-03","1","Bottom Water","0.5","5.1","0.04","0.89","0.11","0.019","0.23","1","81","5.8","440","9.6","7.5","22.4","33.5"
"North Western","NM1","2022-01-14","1","Surface Water","0.6","3.2","0.04","0.55","0.14","0.021","0.27","0.4","70","5.3","180","10.2","7","19.4","33.4"
"North Western","NM1","2022-01-14","1","Middle Water","0.2","4.1","0.03","0.56","0.15","0.022","0.28","0.9","80","6","110","7.3","7.2","19.6","33.5"
"North Western","NM1","2022-01-14","1","Bottom Water","0.2","4.6","0.04","0.64","0.15","0.022","0.27","0.5","81","6.1","360","7.4","7.3","19.6","33.5"
"North Western","NM1","2022-02-23","1","Surface Water","0.5","2","0.07","1.31","0.12","0.023","0.23","0.2","75","6.1","1500","6.7","7.4","15.9","32.1"
"North Western","NM1","2022-02-23","1","Middle Water","0.7","2.1","0.08","1.28","0.1","0.027","0.18","0.4","88","7.1","800","6.4","7.4","16.1","32.2"
"North Western","NM1","2022-02-23","1","Bottom Water","0.7","1.4","0.08","1.29","0.11","0.029","0.2","<0.2","88","7.1","1800","6.9","7.5","16.1","32.2"
"North Western","NM1","2022-03-31","1","Surface Water","0.4","3.1","0.03","0.42","0.16","0.013","0.37","0.4","73","5.4","360","8.6","7.6","21.2","29.4"
"North Western","NM1","2022-03-31","1","Middle Water","0.4","9.6","0.04","0.4","0.17","<0.002","0.33","0.5","80","6","4400","9","7.6","20.6","30.4"
"North Western","NM1","2022-03-31","1","Bottom Water","0.3","6.7","0.11","0.55","0.18","0.02","0.32","0.5","80","6","6000","9","7.6","20.5","30.8"
"North Western","NM1","2022-04-07","1","Surface Water","0.5","3.5","0.04","0.5","0.19","0.002","0.37","0.5","90","6.7","3300","7.8","7.7","21.2","29.8"
"North Western","NM1","2022-04-07","1","Middle Water","0.4","9","0.04","0.58","0.18","0.004","0.34","0.6","81","6.1","3000","6.2","7.7","20.9","30.3"
"North Western","NM1","2022-04-07","1","Bottom Water","0.3","11","0.04","0.66","0.21","0.009","0.33","0.2","78","5.9","4500","7.7","7.7","20.7","31"
"North Western","NM1","2022-05-11","1","Surface Water","1.1","2.8","0.03","0.36","0.058","<0.002","0.2","3.2","94","6.7","65","6.2","8","25.3","25.8"
"North Western","NM1","2022-05-11","1","Middle Water","0.5","1.8","0.03","0.16","0.087","<0.002","0.13","3","88","6.1","1800","6.2","8","24.8","31.3"
